uuid,type,city,street,date,severity
a263250a-204f-4b1b-b0c3-e333391203b6,jam,lo espejo,av. presidente jose joaquin prieto vial,2025-04-27 21:41:45,
f64a39b8-0bce-44ed-bc63-332e0f64a304,accident,la granja,san gregorio,2025-04-27 21:36:18,
c6877e89-1e6a-4dc0-a9b9-4f544213d4e5,road_closed,peñalolen,av. tobalaba,2025-04-27 20:49:15,
e1d076e1-f6cb-4402-a7da-6d921a2d299e,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
71761249-d1f5-4b9e-a728-77a48ace98e5,hazard,el bosque,pasaje san adriano iii,2025-04-27 21:18:57,
289666ef-4487-4954-8443-e3b2c0f005b3,accident,santiago,serrano,2025-04-27 21:23:39,
8b60b9d9-d88a-4c4a-93d0-5c2d75c4cae6,road_closed,pudahuel,av. san pablo,2025-02-26 19:10:23,
1e487a06-31b9-45d6-b939-327175d9546f,police,santiago,catedral,2025-04-27 21:45:40,
7c2d6932-f1ad-4932-a6ee-cfb4b2ab1be6,jam,quilicura,av. manuel antonio matta,2025-04-27 21:46:32,
82822a7a-11a6-4dfc-b382-77072eb3a787,jam,la reina,av. francisco bilbao,2025-04-27 21:15:38,
58dd53f9-42b0-4772-a446-32f50ec61ee0,police,ñuñoa,sucre,2025-04-27 21:38:51,
a0fd1f87-960f-4eae-b42d-cbd684cbfd58,police,independencia,av. domingo santa maria,2025-04-27 21:31:33,
2f6bfe62-0e90-4483-bc81-676e3ece49ed,road_closed,"malloco, peñaflor",los aromos,2025-04-15 17:44:42,
39549cff-802a-4a95-89f5-12dbff452325,police,santiago,merced,2025-04-27 19:49:09,
6314d7a6-3d22-4038-a9d4-9d8c8cd041cf,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
27d9564c-aa0f-45ae-b057-3d1179df8388,road_closed,conchali,av. independencia,2024-06-06 13:26:54,
567f6dc8-a89d-499a-b5bb-f594be5c4e20,road_closed,maipu,longitudinal,2025-04-03 14:35:02,
08ebc5de-6a3c-4e90-89df-734a8f57ef3a,road_closed,maipu,longitudinal,2025-04-03 14:35:02,
f23658f0-d851-4561-9b6c-c2f101148105,police,san miguel,gran avenida jose miguel carrera,2025-04-27 21:32:18,
23b59668-d444-474d-b7ed-6457a83c2c50,hazard,santiago,av. libertador bernardo o'higgins,2025-02-17 12:00:00,
6ea0d056-b0c4-4527-a665-7118ef812fc3,road_closed,cerro navia,vicuña rozas,2025-01-20 04:44:57,
befd4d87-a76d-475c-9acd-345fa1db5eb8,road_closed,conchali,av. independencia,2024-06-06 13:26:54,
9e49b063-2207-4d26-b58b-7ea685941c17,jam,peñalolen,av. quilin,2025-04-27 21:37:30,
